critical_domain,dataset_name
Law Enforcement & Criminal Justice,COMPAS
Law Enforcement & Criminal Justice,ProPublica Violent Recidivism
Law Enforcement & Criminal Justice,Communities and Crime
Healthcare,MEPS
Healthcare,Health Heritage
Healthcare,Diabetes
Employment & Worker Management,Adult Census Income
Employment & Worker Management,Dutch Census
Employment & Worker Management,Ricci v. DeStefano
Education,LSAC
Education,Student—Mathematics
Education,Student—Portuguese
Education,OULAD
Financial Services,Adult German Credit
Financial Services,Bank Marketing
Financial Services,Credit Card Clients
Housing & Socioeconomics,Boston Housing
